id,item_id,topics,strong_topic,all_topics
142693,142679,"[0.00278074 0.00278091 0.00278069 0.00278065 0.9749755  0.0027805
 0.00278003 0.00278039 0.00278001 0.00278053]",0.0050048956700000004,0.17499510432999998
142032,142028,"[0.00188741 0.01030426 0.0018874  0.00188768 0.9745965  0.00188743
 0.00188722 0.00188742 0.00188722 0.00188742]",0.005080696820000001,0.17491930317999999
130397,130394,"[0.00285815 0.9742749  0.00285869 0.00285871 0.0028587  0.00285823
 0.00285797 0.00285844 0.00285797 0.00285828]",0.005145023269999994,0.17485497673
133747,133733,"[0.00285855 0.00285909 0.00285816 0.00285879 0.9742736  0.00285843
 0.00285803 0.00285832 0.00285803 0.00285896]",0.005145276210000003,0.17485472378999997
128810,128798,"[0.00285991 0.00285994 0.00285847 0.00285963 0.9742667  0.00285883
 0.00285841 0.00285864 0.00285841 0.00286108]",0.005146662759999995,0.17485333724
131323,131318,"[0.00294272 0.00294268 0.00294228 0.00294362 0.97351897 0.00294266
 0.00294168 0.0029421  0.00294157 0.00294172]",0.005296205640000001,0.17470379436
127520,127517,"[0.00294329 0.9735139  0.00294269 0.0029432  0.00294304 0.00294268
 0.00294322 0.00294263 0.00294232 0.00294307]",0.005297225599999995,0.1747027744
138205,138185,"[0.00294323 0.00294373 0.00294309 0.97351134 0.00294344 0.00294308
 0.00294278 0.00294333 0.00294276 0.00294327]",0.005297735640000004,0.17470226435999997
137571,137555,"[0.00303198 0.00303235 0.00303207 0.00303195 0.9727117  0.00303258
 0.00303152 0.00303252 0.00303152 0.00303189]",0.005457667960000003,0.17454233203999997
128658,128651,"[0.00303324 0.97270715 0.00303258 0.00303289 0.00303284 0.00303254
 0.00303195 0.00303239 0.00303194 0.00303249]",0.005458571060000003,0.17454142893999997
144500,144485,"[0.00303294 0.00303347 0.00303322 0.00303288 0.97270143 0.00303389
 0.00303246 0.0030347  0.00303247 0.00303258]",0.005459718710000002,0.17454028129
131231,131213,"[0.00303405 0.97269934 0.00303271 0.00303371 0.00303358 0.00303316
 0.00303262 0.00303293 0.00303262 0.00303525]",0.005460129749999997,0.17453987024999998
