id,item_id,topics,strong_topic,all_topics
130633,130625,"[0.00232951 0.00232982 0.00232944 0.00233053 0.8291724  0.07168883
 0.00232921 0.08283143 0.00232921 0.0023297 ]",0.034165528619999996,0.14583447138
135708,135707,"[0.07687105 0.0029447  0.00294443 0.82914186 0.00294477 0.00294444
 0.00294392 0.0029449  0.00294392 0.07337598]",0.03417162611999999,0.14582837388
138480,138479,"[0.00714775 0.00714932 0.11379561 0.00714844 0.8290193  0.00714773
 0.00714893 0.00714825 0.00714699 0.00714766]",0.0341961378,0.14856298419999997
125757,125753,"[0.0055591  0.00556024 0.00555887 0.00555959 0.829009   0.00555887
 0.00555908 0.0055608  0.00555848 0.126516  ]",0.03419820357999999,0.15110499642
138093,138080,"[0.0052678  0.1292881  0.0052671  0.00526873 0.8285728  0.00526861
 0.00526682 0.00526669 0.00526652 0.00526685]",0.03428544199999999,0.15157217799999997
138897,138878,"[0.00244264 0.00244274 0.1519921  0.00244251 0.828469   0.00244236
 0.00244202 0.00244212 0.00244198 0.0024426 ]",0.03430620660999999,0.15609221339
134019,134006,"[0.00286045 0.82830554 0.00286027 0.00286019 0.00286045 0.10737127
 0.00285967 0.04430264 0.00285955 0.00285995]",0.03433888969,0.14713536431
128834,128819,"[0.14413835 0.00345173 0.00345086 0.00345131 0.8282534  0.00345135
 0.00345047 0.00345114 0.00345047 0.00345094]",0.03434932188999999,0.15447834811
140690,140684,"[5.9260003e-04 5.9261185e-04 5.9263940e-04 8.2797354e-01 8.0262760e-02
 1.9266358e-02 5.9246270e-04 6.8941990e-02 5.9245740e-04 5.9258010e-04]",0.034405291948,0.14559470805199998
132088,132074,"[0.00909704 0.009097   0.00909505 0.00909619 0.82758546 0.00909639
 0.09964676 0.00909507 0.00909504 0.00909601]",0.0344829089,0.14551709109999997
144629,144611,"[0.00909216 0.82733953 0.00909224 0.0090935  0.00909379 0.00909217
 0.00909211 0.00909242 0.09991705 0.00909506]",0.03453209794999999,0.14546790205
134864,134846,"[0.00212868 0.15571338 0.00212902 0.00212889 0.8272569  0.00212865
 0.00212847 0.00212851 0.00212835 0.00212909]",0.034548614559999996,0.15659406144
144618,144611,"[0.00908953 0.82720155 0.00908953 0.00909046 0.00909086 0.00908955
 0.00908953 0.00908968 0.10007916 0.00909016]",0.0345596921,0.1454561407
132529,132515,"[0.00588735 0.00588787 0.00588732 0.00588749 0.82713443 0.00588712
 0.00588635 0.12576815 0.00588627 0.00588762]",0.034573109709999994,0.15058052029
133448,133439,"[0.00416937 0.00417013 0.13957572 0.8270692  0.00416972 0.00416929
 0.00416861 0.00416936 0.00416861 0.00416994]",0.03458615543,0.15332898857
139433,139424,"[0.00625613 0.00625627 0.0062561  0.00625636 0.82681566 0.12313747
 0.00625499 0.00625545 0.00625499 0.00625656]",0.03463686579,0.14999062901
145510,145493,"[0.00101139 0.03792557 0.00101142 0.82668805 0.00101146 0.00101152
 0.00101121 0.12830684 0.00101121 0.00101131]",0.034662386479999995,0.15099898151999996
126741,126740,"[0.00833774 0.00833869 0.00833575 0.8266827  0.00834017 0.00833738
 0.00833557 0.10661924 0.00833538 0.00833741]",0.034663461099999994,0.1466603869
144620,144611,"[0.00667379 0.82667243 0.00667345 0.00667357 0.00667366 0.00667167
 0.0066716  0.00667198 0.0066716  0.11994626]",0.03466551504999999,0.14932373695
144169,144149,"[0.09638895 0.05637468 0.00295275 0.0029526  0.8265701  0.00295243
 0.00295217 0.00295209 0.00295184 0.00295238]",0.03468597887,0.14531402112999997
139485,139466,"[0.00200457 0.12017704 0.00200427 0.0021438  0.82637954 0.03927486
 0.00200393 0.00200402 0.00200386 0.00200415]",0.03472409520999999,0.14931131279
140930,140915,"[0.00589053 0.826205   0.12666956 0.00589045 0.00589054 0.00589193
 0.00588942 0.00589276 0.00588943 0.00589038]",0.03475899993999999,0.15057491206
130203,130184,"[0.00244036 0.82603127 0.00243978 0.15444894 0.00244005 0.0024402
 0.00243968 0.00243999 0.00243959 0.0024401 ]",0.03479374227,0.15609604573
134167,134153,"[0.00182056 0.8256029  0.00182187 0.09754809 0.06410377 0.0018205
 0.00182035 0.00182105 0.00182035 0.00182053]",0.03487941722,0.14512058278
129977,129974,"[0.00270557 0.00270569 0.00270504 0.00270558 0.8254682  0.1528871
 0.00270655 0.00270579 0.00270474 0.00270572]",0.03490635739,0.15567106261
134067,134048,"[0.15956469 0.00196187 0.00196167 0.00196187 0.8247426  0.00196181
 0.00196133 0.00196145 0.0019612  0.00196152]",0.035051479219999994,0.15686145878
130576,130562,"[0.00476564 0.0047661  0.00476613 0.8246507  0.13722152 0.00476663
 0.00476685 0.00476577 0.00476496 0.00476564]",0.03506985435,0.15237444965
130577,130562,"[0.00476564 0.0047661  0.00476613 0.82461524 0.137257   0.00476663
 0.00476686 0.00476577 0.00476496 0.00476564]",0.03507694861999999,0.15237445138
142473,142469,"[0.10359774 0.06339364 0.00120564 0.00120571 0.8245691  0.0012057
 0.00120538 0.00120592 0.00120538 0.00120577]",0.03508617790999999,0.14563337009
127498,127496,"[0.00911123 0.00911229 0.00910962 0.00911141 0.8245473  0.00911049
 0.00910911 0.10257015 0.00910912 0.00910931]",0.03509054235,0.14542348765
141855,141839,"[0.00232768 0.00232775 0.00232719 0.09877756 0.8244526  0.0604776
 0.00232704 0.00232759 0.00232704 0.00232799]",0.03510948458,0.14489051541999998
125563,125543,"[0.00476439 0.13749415 0.00476341 0.82439464 0.00476443 0.00476449
 0.00476319 0.0047634  0.00476319 0.00476472]",0.03512107169,0.15237775831
137550,137534,"[0.0324267  0.0018228  0.00182292 0.8243728  0.00182278 0.00182247
 0.00182222 0.13044287 0.00182213 0.00182227]",0.03512543589999999,0.1509631381
134971,134951,"[0.00256576 0.8242451  0.15523031 0.00256599 0.00256586 0.00256571
 0.0025651  0.00256558 0.0025651  0.00256545]",0.035150976419999994,0.15589508557999998
139794,139781,"[0.00500317 0.00500354 0.00500229 0.00500385 0.8241355  0.13584362
 0.00500194 0.005002   0.00500194 0.00500216]",0.03517290096999999,0.15199582302999998
136934,136925,"[0.00222288 0.82395744 0.00222284 0.00222315 0.0022232  0.002223
 0.00222421 0.00222336 0.00222274 0.15825719]",0.03520851228999999,0.15644292571
144278,144275,"[0.00714411 0.00714545 0.00714426 0.00714568 0.8239538  0.00714483
 0.00714329 0.00714345 0.00714329 0.11889181]",0.03520923578,0.14856912621999996
132442,132431,"[0.00774981 0.8237545  0.00774735 0.00774787 0.0077483  0.11426266
 0.00774678 0.00774696 0.00774678 0.00774902]",0.03524910343,0.14760342757
136985,136967,"[0.0026357  0.15523455 0.0026358  0.0026352  0.82368374 0.00263574
 0.00263474 0.00263484 0.00263474 0.00263495]",0.0352632532,0.15578365679999998
141498,141482,"[0.00400846 0.00400924 0.00400882 0.00400797 0.82360816 0.10465734
 0.04367504 0.0040093  0.00400735 0.00400835]",0.03527837032999999,0.14565309766999998
129317,129302,"[0.13135307 0.82357866 0.00130105 0.02082794 0.00130123 0.0013012
 0.00130096 0.01643383 0.00130094 0.00130115]",0.03528426898999999,0.15098634501
140046,140033,"[0.10136485 0.05913061 0.00227769 0.00227775 0.82355875 0.00227828
 0.0022779  0.00227826 0.00227749 0.00227841]",0.035288249800000004,0.14498472019999997
141010,140999,"[0.15071954 0.00322777 0.00322701 0.00322781 0.8234628  0.00322734
 0.00322678 0.00322714 0.00322673 0.0032271 ]",0.03530744126999999,0.15483646673
126176,126173,"[0.00270618 0.15531869 0.00270677 0.8230333  0.0027063  0.00270574
 0.00270544 0.0027057  0.00270544 0.00270645]",0.035393339239999995,0.15567039876
127734,127727,"[0.00147244 0.00147261 0.00147287 0.8228826  0.00147254 0.1506072
 0.01620299 0.00147229 0.00147217 0.00147227]",0.03542347627999999,0.15469796372
129230,129218,"[0.00150538 0.07680167 0.00150566 0.00150548 0.07789811 0.82279503
 0.00150532 0.00150521 0.00150508 0.01347312]",0.035440998800000005,0.14455900119999998
134005,133985,"[0.00222404 0.00222436 0.00222407 0.0022241  0.07049877 0.8227916
 0.00222413 0.00222377 0.00222344 0.09114177]",0.035441684200000004,0.1445583158
127482,127475,"[0.00250345 0.00250362 0.00250342 0.1323636  0.8227608  0.00250354
 0.027353   0.0025032  0.00250262 0.00250272]",0.03544783731,0.15102488268999997
134329,134321,"[0.12664165 0.04075071 0.0014128  0.822722   0.00141234 0.00141224
 0.00141192 0.00141202 0.00141191 0.00141241]",0.03545559976,0.14987273023999997
142163,142154,"[0.002442   0.8226844  0.00244177 0.00244193 0.15778166 0.00244181
 0.00244129 0.00244245 0.00244129 0.00244147]",0.03546312622999999,0.15609320577
144188,144170,"[0.08122768 0.00145394 0.00145372 0.06465726 0.82262325 0.00145378
 0.00145342 0.00145361 0.00145342 0.02276991]",0.03547534796,0.14452465203999998
129377,129365,"[0.00222301 0.82255375 0.00222361 0.00222322 0.15966205 0.00222306
 0.00222272 0.00222297 0.00222272 0.0022229 ]",0.03548924946,0.15644316053999996
125373,125354,"[0.00222594 0.00222643 0.00222624 0.00222603 0.82252955 0.15966173
 0.00222573 0.00222649 0.00222573 0.00222608]",0.03549408618999998,0.15643825980999998
129918,129911,"[0.08155193 0.82219124 0.00158907 0.00158878 0.00158842 0.05337395
 0.00158808 0.00158821 0.03335207 0.00158826]",0.03556175188,0.14443824812
132756,132746,"[0.12067711 0.8221268  0.00714873 0.00715131 0.00715001 0.00714941
 0.00714862 0.00714958 0.00714862 0.00714976]",0.03557463543999999,0.14856078656
136283,136274,"[0.04428757 0.05724971 0.00175614 0.8220853  0.00175614 0.00175604
 0.00175573 0.00175604 0.02913786 0.03845943]",0.03558293577,0.14441706423
141817,141797,"[0.00204195 0.00204221 0.08545512 0.07823078 0.8220183  0.00204279
 0.00204185 0.00204207 0.00204232 0.0020426 ]",0.03559633931,0.14440366069
141543,141524,"[0.00175566 0.8219935  0.00175558 0.07569637 0.00175586 0.09002045
 0.00175545 0.00175586 0.00175545 0.00175579]",0.03560129742,0.14439870257999998
139039,139025,"[0.00476525 0.8217539  0.004764   0.1012892  0.00476507 0.00476474
 0.0047648  0.0436049  0.00476385 0.0047643 ]",0.03564922143999999,0.14460861855999999
128476,128462,"[3.3909470e-04 1.0709795e-02 5.2920952e-02 8.2172430e-01 9.1464290e-02
 2.1485142e-02 3.3903643e-04 3.3913840e-04 3.3906222e-04 3.3917138e-04]",0.03565513821300001,0.14434486178699998
133122,133103,"[0.00834006 0.8214834  0.00833845 0.00834144 0.00834174 0.00833899
 0.00833845 0.0083385  0.00833845 0.11180056]",0.03570332479999999,0.14665678719999997
142107,142091,"[0.00161502 0.8213145  0.03941811 0.00161492 0.12796286 0.00161513
 0.00161462 0.00161471 0.00161459 0.00161552]",0.035737098640000006,0.14985547336
131829,131822,"[0.0020015  0.82130146 0.09118147 0.00200163 0.00200161 0.00200141
 0.00200112 0.07350735 0.00200105 0.00200146]",0.035739713539999995,0.14426028646
127849,127832,"[0.00200207 0.82127297 0.00200203 0.00200194 0.00200192 0.00200197
 0.00200142 0.00200153 0.00200137 0.1627128 ]",0.03574540892,0.15679715107999997
133692,133691,"[0.00180016 0.82119566 0.00179987 0.02752397 0.00180018 0.08021702
 0.00179974 0.00179992 0.00179974 0.06026369]",0.03576086297,0.14423913702999996
125138,125123,"[0.00107628 0.00107652 0.00107645 0.82113606 0.00107643 0.06137441
 0.00107635 0.1099549  0.00107613 0.00107645]",0.035772787150000006,0.14621819284999998
132325,132305,"[0.00250318 0.8211127  0.00250298 0.00250376 0.00250336 0.00250322
 0.00250286 0.00250332 0.00250286 0.15886177]",0.03577746066999999,0.15599489333
127273,127265,"[0.00555823 0.00555907 0.13454309 0.0055596  0.8209884  0.00555959
 0.00555761 0.00555883 0.00555761 0.005558  ]",0.035802322,0.151106296
138253,138248,"[0.00400538 0.8209134  0.00400708 0.00400574 0.00400592 0.10705106
 0.00400525 0.00400531 0.04399445 0.00400642]",0.03581732152,0.14559289048000001
136771,136757,"[0.07737613 0.08827539 0.00196291 0.001963   0.82060814 0.00196336
 0.00196263 0.00196309 0.00196263 0.00196276]",0.03587837585999999,0.14412162414000002
129245,129239,"[0.00097265 0.0453048  0.00097271 0.82051235 0.0676667  0.00097277
 0.00097242 0.06068052 0.00097245 0.00097265]",0.03589753088,0.14410246912
143784,143771,"[0.00910516 0.00910624 0.10671011 0.820453   0.00910544 0.00910432
 0.0091034  0.00910517 0.0091034  0.0091038 ]",0.0359094024,0.14543261959999998
130658,130646,"[0.00161445 0.10052204 0.00161433 0.00161449 0.82030684 0.00161461
 0.00161417 0.06787016 0.00161434 0.00161463]",0.03593863686,0.14416577113999998
131562,131549,"[0.01000619 0.8202256  0.01000653 0.09971252 0.01000992 0.01000831
 0.01001127 0.01000734 0.01000591 0.01000642]",0.035954880599999996,0.14404511939999998
128675,128672,"[0.00154022 0.00154021 0.00154013 0.82019037 0.00154012 0.00154011
 0.00153988 0.00154003 0.0015397  0.16748925]",0.035961928239999996,0.15753592175999998
145132,145115,"[0.00454641 0.0045481  0.00454688 0.14347282 0.82015306 0.00454702
 0.00454628 0.00454701 0.00454602 0.00454645]",0.03596939254999999,0.15272517145
128577,128567,"[0.01999519 0.82003593 0.01999517 0.01999842 0.01999726 0.01999518
 0.01999518 0.0199952  0.01999522 0.01999722]",0.035992809,0.14400719099999998
135183,135182,"[0.01999835 0.82002574 0.01999554 0.01999877 0.019998   0.01999616
 0.01999556 0.01999554 0.0199956  0.02000076]",0.035994854300000004,0.1440051457
128536,128525,"[0.01999669 0.02000304 0.0199965  0.01999858 0.8200207  0.01999806
 0.01999652 0.0199965  0.01999656 0.01999685]",0.03599586029999999,0.14400413969999998
144368,144359,"[0.02000065 0.8200017  0.01999859 0.0200014  0.02000015 0.01999878
 0.01999807 0.01999824 0.01999809 0.02000426]",0.035999654000000006,0.144000346
131840,131822,"[0.02000259 0.01999933 0.01999882 0.02000268 0.01999941 0.8199913
 0.01999768 0.02000102 0.01999772 0.02000952]",0.0360017473,0.1439982527
