,none,diverse_numerical,diverse_review,coverage_review,sim,summary_sim,sentiment_sim,tag_sim,topic_sim,attribute_sim
73,11,16,14,8,14,3,17,7,5,3
74,22,22,31,26,38,13,8,14,17,11
75,19,27,27,6,9,21,18,5,20,6
76,274,168,289,70,125,76,216,83,235,66
77,753,1100,1629,488,818,498,1160,387,701,406
78,192,272,450,136,189,148,353,83,173,104
79,243,269,542,156,268,138,278,127,286,113
80,106,134,243,98,102,81,146,75,98,79
81,185,148,177,59,89,50,177,49,148,56
82,353,510,577,149,356,194,464,162,273,140
83,721,841,1361,409,619,407,957,334,667,348
84,153,205,319,58,148,93,216,77,140,61
85,55,65,66,11,38,26,58,20,34,21
86,31,56,78,41,71,24,46,12,38,15
87,96,141,112,41,86,45,119,40,64,36
88,8,8,20,4,8,5,4,7,11,5
89,22,25,19,3,15,2,32,2,10,8
90,48,79,72,39,54,20,74,26,46,18
91,185,240,319,77,148,93,328,73,104,75
92,394,522,733,196,387,204,587,190,316,161
93,980,1184,1759,538,910,544,1264,435,881,427
94,625,739,878,277,515,273,730,252,535,214
95,677,797,1074,336,596,340,830,266,556,296
96,119,182,227,54,106,61,204,60,72,79
97,214,321,296,144,211,126,326,83,144,85
98,1079,1333,1990,598,1004,611,1419,496,978,492
99,1079,1333,1990,598,1004,611,1419,496,978,492
100,1079,1333,1990,598,1004,611,1419,496,978,492
101,1079,1333,1990,598,1004,611,1419,496,978,492
102,1079,1333,1990,598,1004,611,1419,496,978,492
103,1079,1333,1990,598,1004,611,1419,496,978,492
104,1079,1333,1990,598,1004,611,1419,496,978,492
105,1079,1333,1990,598,1004,611,1419,496,978,492
106,1079,1333,1990,598,1004,611,1419,496,978,492
107,1079,1333,1990,598,1004,611,1419,496,978,492
